순번,시도본부,119안전센터명,주소,전화번호,FAX,위도,경도
1,서울특별시,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119,37.4747004805241,127.049895047376
2,서울특별시,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008,37.5102791937918,127.066830196714
3,서울특별시,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883,37.4704038248928,127.107231662366
4,서울특별시,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019,37.4849268509466,127.092841706314
5,서울특별시,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193,37.4971302963569,127.042446564006
6,서울특별시,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119,37.5221428647963,127.03693433067
7,서울특별시,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,02-429-0121,37.5573403955858,127.17968449182
8,서울특별시,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431,37.5571475989546,127.151888163832
9,서울특별시,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119,37.5409744935373,127.144357712705
10,서울특별시,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717,37.5294578780874,127.125372107356
11,서울특별시,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427,37.5539834377479,127.12863753848
12,서울특별시,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721,37.538619937408,127.131370251226
13,서울특별시,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,02-981-0119,37.6200218033242,127.02829468516
14,서울특별시,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229,37.6330513410328,127.038180860463
15,서울특별시,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,02-984-5119,37.6198625399321,127.015503392069
16,서울특별시,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116,37.6409535904087,127.016496342099
17,서울특별시,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248,37.575000173221,126.803146069104
18,서울특별시,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244,37.5582460680719,126.860047002918
19,서울특별시,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249,37.5559362655126,126.820718949632
20,서울특별시,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246,37.555261129542,126.836860953088
21,서울특별시,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247,37.5797935701872,126.814281581572
22,서울특별시,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245,37.543664744296,126.845223517709
23,서울특별시,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,02-877-4119,37.474124805543,126.952685489441
24,서울특별시,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,02-839-3119,37.4756896173156,126.916070379965
25,서울특별시,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,02-877-2143,37.4859489532925,126.941113960309
26,서울특별시,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,02-878-2069,37.4896334876154,126.923986693672
27,서울특별시,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118,37.5448260218652,127.082778518406
28,서울특별시,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119,37.5516748979298,127.077014317342
29,서울특별시,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119,37.5669486795626,127.086643780864
30,서울특별시,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,02-2619-0121,37.4977928295037,126.86521575957
31,서울특별시,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,02-2616-0119,37.5049287806115,126.854864624849
32,서울특별시,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,02-837-7119,37.484225084951,126.898432630772
33,서울특별시,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,02-864-0119,37.4942274908725,126.882548301049
34,서울특별시,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,02-2613-0119,37.4962644992294,126.82954314226
35,서울특별시,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119,02-2671-2119,37.5073244326985,126.881212537772
36,서울특별시,금천119안전센터,서울특별시 금천구 시흥대로 342(독산동),02-6981-6541,02-2187-8384,37.4641358331914,126.897934083993
37,서울특별시,시흥119안전센터,서울특별시 금천구 시흥대로 45길 31(시흥동),02-6981-6551,02-2187-8385,37.4485440952535,126.900483576723
38,서울특별시,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,02-975-0616,37.6190612991145,127.080693450592
39,서울특별시,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,02-3392-2736,37.6550522215901,127.0716247327
40,서울특별시,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,02-939-6119,37.6797401642825,127.055776663279
41,서울특별시,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,02-994-0397,37.6288105788559,127.056393818666
42,서울특별시,하계119안전센터,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6940,02-979-6119,37.6382549586524,127.071107030841
43,서울특별시,도봉119안전센터,서울특별시 도봉구 노해로 152 (도봉동),02-6981-8182,02-2187-8277,37.6481984004112,127.026815972409
44,서울특별시,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,02-2187-8276,37.6640064725024,127.043019014157
45,서울특별시,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,02-2187-8279,37.6481984004112,127.026815972409
46,서울특별시,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,02-2187-8278,37.646761768825,127.043734714786
